# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
10270,4.108,20,1,2
10280,4.112,20,1,2
10290,4.116,20,1,2
10300,4.120,20,1,2
10310,4.124,20,1,2
10320,4.128,20,1,2
10330,4.132,20,1,2
10340,4.136,20,1,2
10350,4.140,20,1,2
10360,4.144,20,1,2
10370,4.148,20,1,2
10380,4.152,20,1,2
10390,4.156,20,1,2
10400,4.160,20,1,2
10410,4.164,20,1,2
10420,4.168,20,1,2
10430,4.172,20,1,2
10440,4.176,20,1,2
10450,4.180,20,1,2
10460,4.184,20,1,2
10470,4.188,20,1,2
10480,4.192,20,1,2
10490,4.196,20,1,2
10500,4.200,20,1,2
